id_mahasiswa;Marital_status;Application_mode;Application_order;Course;Daytime_evening_attendance;Previous_qualification;Previous_qualification_grade;Nacionality;Mothers_qualification;Fathers_qualification;Mothers_occupation;Fathers_occupation;Admission_grade;Displaced;Educational_special_needs;Debtor;Tuition_fees_up_to_date;Gender;Scholarship_holder;Age_at_enrollment;International;Curricular_units_1st_sem_credited;Curricular_units_1st_sem_enrolled;Curricular_units_1st_sem_evaluations;Curricular_units_1st_sem_approved;Curricular_units_1st_sem_grade;Curricular_units_1st_sem_without_evaluations;Curricular_units_2nd_sem_credited;Curricular_units_2nd_sem_enrolled;Curricular_units_2nd_sem_evaluations;Curricular_units_2nd_sem_approved;Curricular_units_2nd_sem_grade;Curricular_units_2nd_sem_without_evaluations;Unemployment_rate;Inflation_rate;GDP;Status;skor_kartu;peringkat;asal_data;profil
MHS0840;1;1;1;9147;1;1;125.0;1;38;1;3;10;114.5;1;0;0;1;1;0;19;0;0;5;5;5;13.8;0;0;5;7;5;12.4;0;9.4;-0.8;-3.12;Graduate;631;C;data latih;Tidak dipanggil
MHS0841;1;1;1;9147;1;1;108.0;41;3;3;9;9;107.0;0;0;1;0;0;0;19;1;0;5;14;0;0.0;0;0;5;5;0;0.0;0;8.9;1.4;3.51;Dropout;456;E;data latih;Terhalang biaya
MHS0842;1;17;1;9147;1;1;116.0;1;3;1;3;4;115.7;0;0;0;0;1;0;22;0;0;5;10;4;11.5;0;0;5;11;4;14.0;0;8.9;1.4;3.51;Enrolled;534;E;mahasiswa aktif;Terhalang biaya
MHS0843;1;39;1;9130;1;1;133.1;1;3;34;3;0;120.0;0;0;1;0;1;0;29;0;0;5;11;0;0.0;4;0;5;6;0;0.0;1;9.4;-0.8;-3.12;Dropout;415;E;data uji;Terhalang biaya
MHS0844;1;1;3;9500;1;1;147.0;1;37;38;9;5;134.8;1;0;0;1;0;0;18;0;0;7;7;6;14.016666666666666;0;0;7;7;6;14.016666666666666;0;7.6;2.6;0.32;Graduate;708;A;data uji;Tidak dipanggil
MHS0845;1;1;1;9238;1;1;143.0;1;38;34;9;9;133.6;1;0;0;1;0;0;18;0;0;6;9;5;11.4;0;0;6;8;5;10.8;0;9.4;-0.8;-3.12;Graduate;605;C;data latih;Tidak dipanggil
MHS0846;1;1;1;171;1;1;115.0;1;37;37;9;8;129.0;1;0;1;0;0;1;23;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;9.4;-0.8;-3.12;Dropout;475;E;data latih;Menghilang dari kelas
MHS0847;2;39;1;9991;0;1;160.0;1;1;1;194;131;128.4;0;0;0;1;0;0;34;0;0;5;12;5;10.4;0;0;5;11;5;12.0;0;12.4;0.5;1.79;Graduate;580;D;data latih;Berjuang secara akademik
MHS0848;1;17;1;9147;1;1;118.0;1;19;19;9;9;122.2;0;0;0;1;0;0;19;0;0;5;11;3;10.666666666666666;0;0;5;9;4;10.25;0;11.1;0.6;2.02;Graduate;585;D;data latih;Berjuang secara akademik
MHS0849;1;1;1;9085;1;1;122.0;1;1;1;2;5;113.3;1;0;0;1;0;0;18;0;0;5;9;4;14.25;0;0;5;8;5;12.714285714285714;0;10.8;1.4;1.74;Enrolled;638;C;mahasiswa aktif;Tidak dipanggil
MHS0850;1;17;6;9500;1;1;143.0;1;1;19;4;4;129.9;0;0;0;1;0;1;20;0;3;7;7;7;13.914285714285713;0;5;8;8;8;14.10625;0;11.1;0.6;2.02;Graduate;724;A;data uji;Tidak dipanggil
MHS0851;1;1;6;9500;1;1;133.0;1;3;3;1;1;126.2;1;0;0;1;0;0;19;0;0;7;9;7;13.761111111111113;0;0;8;11;7;12.82375;0;15.5;2.8;-4.06;Graduate;699;A;data uji;Tidak dipanggil
MHS0852;1;5;2;9853;1;1;122.0;1;19;19;4;5;112.6;1;0;0;1;0;0;22;0;0;6;10;5;12.6;0;0;6;9;4;11.25;0;12.7;3.7;-1.7;Enrolled;575;D;mahasiswa aktif;Berjuang secara akademik
MHS0853;1;1;1;9238;1;1;164.0;1;19;19;9;9;149.0;1;0;0;1;0;1;23;0;0;6;7;6;13.857142857142858;0;0;6;6;6;14.166666666666666;0;10.8;1.4;1.74;Graduate;723;A;data latih;Tidak dipanggil
MHS0854;2;39;1;9500;1;1;133.1;1;1;19;9;9;120.0;0;0;0;1;1;1;34;0;0;8;8;7;13.842857142857143;0;0;8;8;7;13.842857142857143;0;12.7;3.7;-1.7;Graduate;698;A;data latih;Tidak dipanggil
MHS0855;1;17;4;9119;1;1;127.0;1;19;19;5;5;120.4;1;0;1;0;1;0;18;0;0;5;12;0;0.0;0;0;5;8;0;0.0;0;9.4;-0.8;-3.12;Enrolled;435;E;mahasiswa aktif;Terhalang biaya
MHS0856;1;1;3;9773;1;1;140.0;1;1;39;4;1;128.1;1;1;0;1;1;0;21;0;0;6;6;5;11.8;0;0;6;9;0;0.0;0;16.2;0.3;-0.92;Dropout;595;D;data latih;Berjuang secara akademik
MHS0857;1;1;1;9238;1;1;127.0;1;1;19;4;3;141.7;1;0;0;1;1;0;22;0;0;6;6;6;12.666666666666666;0;0;6;6;6;13.833333333333334;0;10.8;1.4;1.74;Dropout;689;B;data latih;Tidak dipanggil
MHS0858;1;39;1;9003;1;12;133.1;1;37;1;9;10;130.0;0;0;0;1;1;0;28;0;0;6;6;0;0.0;0;0;6;6;0;0.0;0;11.1;0.6;2.02;Dropout;525;E;data latih;Menghilang dari kelas
MHS0859;1;5;4;9119;1;1;115.0;1;19;37;4;6;113.3;1;0;0;1;1;0;23;0;0;5;7;0;0.0;0;0;5;5;0;0.0;0;7.6;2.6;0.32;Dropout;523;E;data latih;Menghilang dari kelas
MHS0860;1;1;1;9773;1;1;108.0;1;34;38;0;3;105.9;0;0;0;1;1;0;20;0;0;6;11;4;10.75;0;0;6;13;2;10.0;0;7.6;2.6;0.32;Dropout;595;D;data uji;Berjuang secara akademik
MHS0861;1;18;2;9119;1;1;136.0;1;1;2;5;4;122.7;1;0;0;1;1;0;18;0;0;5;7;5;12.6;0;0;5;9;3;13.25;0;13.9;-0.3;0.79;Dropout;608;C;data latih;Tidak dipanggil
MHS0862;1;39;2;9147;1;12;133.1;1;19;38;9;9;120.0;1;0;1;0;1;0;28;0;0;5;5;0;0.0;0;0;5;5;0;0.0;0;9.4;-0.8;-3.12;Dropout;423;E;data latih;Terhalang biaya
MHS0863;1;44;1;9070;1;39;120.0;1;1;19;5;8;119.8;0;0;0;1;1;0;21;0;2;7;7;2;12.0;0;5;9;10;7;12.142857142857142;0;12.4;0.5;1.79;Dropout;651;C;data latih;Tidak dipanggil
MHS0864;1;39;1;9670;1;1;133.1;1;38;19;9;8;122.9;0;0;1;0;1;0;25;0;0;6;7;3;14.0;0;0;6;9;2;14.5;0;13.9;-0.3;0.79;Dropout;507;E;data latih;Terhalang biaya
MHS0865;1;44;1;9085;1;39;160.0;1;1;1;5;4;160.0;1;1;0;0;1;0;19;0;2;6;6;6;14.0;0;1;6;11;6;13.5;0;12.4;0.5;1.79;Dropout;609;C;data latih;Tidak dipanggil
MHS0866;1;1;4;9500;1;1;128.0;1;1;1;4;10;125.2;1;0;0;1;1;1;18;0;0;7;7;7;14.682857142857143;0;0;8;9;8;15.055555555555555;0;12.4;0.5;1.79;Graduate;735;A;data latih;Tidak dipanggil
MHS0867;1;39;1;9119;1;3;130.0;1;1;38;90;90;143.4;0;0;0;1;1;0;29;0;0;3;3;0;0.0;3;0;5;0;0;0.0;0;10.8;1.4;1.74;Dropout;508;E;data latih;Menghilang dari kelas
MHS0868;1;39;1;9119;1;19;133.1;1;37;38;3;7;96.7;0;0;0;1;1;1;29;0;0;5;6;0;0.0;0;0;5;7;0;0.0;0;12.4;0.5;1.79;Dropout;537;E;data latih;Berjuang secara akademik
MHS0869;1;18;1;9254;1;1;137.0;1;19;19;4;5;126.9;0;0;0;1;1;0;20;0;0;6;7;6;13.857142857142858;0;0;6;7;5;12.8;0;16.2;0.3;-0.92;Graduate;638;C;data latih;Tidak dipanggil
MHS0870;1;1;1;171;1;1;163.0;1;19;1;9;7;143.1;0;0;0;1;1;0;18;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;9.4;-0.8;-3.12;Graduate;562;D;data latih;Menghilang dari kelas
MHS0871;1;1;1;9254;1;1;125.0;1;1;1;191;193;114.5;0;0;0;1;1;0;20;0;0;6;8;6;13.142857142857142;0;0;6;7;6;12.5;0;8.9;1.4;3.51;Graduate;682;B;data latih;Tidak dipanggil
MHS0872;2;39;1;9119;1;1;120.0;1;34;34;0;0;140.0;1;0;0;1;1;0;33;0;0;5;14;1;18.0;0;0;5;9;2;13.0;0;9.4;-0.8;-3.12;Dropout;567;D;data latih;Berjuang secara akademik
MHS0873;1;42;1;9991;0;1;150.0;1;19;19;5;5;113.7;0;0;0;1;1;0;30;0;11;15;15;13;11.461538461538462;0;6;11;15;10;11.583333333333334;1;16.2;0.3;-0.92;Graduate;617;C;data latih;Tidak dipanggil
MHS0874;1;1;1;9556;1;1;135.0;1;1;1;1;1;131.5;0;0;0;1;1;1;21;0;0;7;14;5;11.2;0;0;8;11;6;11.583333333333334;0;16.2;0.3;-0.92;Enrolled;655;C;mahasiswa aktif;Tidak dipanggil
MHS0875;1;1;1;9003;1;1;148.0;1;1;19;194;194;143.5;0;0;1;1;1;0;18;0;0;6;6;5;15.0;0;0;6;8;4;14.5;0;8.9;1.4;3.51;Graduate;616;C;data uji;Tidak dipanggil
MHS0876;1;1;1;9500;1;1;138.0;1;38;38;9;9;126.8;0;0;0;1;1;1;19;0;0;7;9;7;14.244444444444444;0;0;8;12;8;12.233333333333333;0;15.5;2.8;-4.06;Graduate;723;A;data latih;Tidak dipanggil
MHS0877;1;17;1;9070;1;1;119.0;1;38;19;9;9;115.2;0;0;0;1;1;1;21;0;0;6;8;4;11.5;0;0;6;7;5;11.0;0;15.5;2.8;-4.06;Dropout;619;C;data latih;Tidak dipanggil
MHS0878;1;39;2;9556;1;1;130.0;1;19;19;4;5;100.0;0;0;0;1;1;1;25;0;0;7;7;2;10.0;0;0;7;7;0;0.0;0;15.5;2.8;-4.06;Dropout;572;D;data latih;Menghilang dari kelas
MHS0879;1;1;2;9670;1;1;135.0;1;19;19;7;10;121.4;0;0;0;1;1;0;19;0;0;5;7;3;12.333333333333334;0;0;5;5;5;11.6;0;9.4;-0.8;-3.12;Graduate;601;C;data latih;Tidak dipanggil
MHS0880;1;44;1;9070;1;39;120.0;1;19;1;9;3;120.0;1;0;0;1;1;0;23;0;2;7;8;5;12.2;0;5;9;10;7;12.142857142857142;1;16.2;0.3;-0.92;Dropout;649;C;data uji;Tidak dipanggil
MHS0881;1;17;2;9070;1;1;126.0;1;38;38;9;8;129.9;1;0;0;1;1;1;19;0;0;6;6;6;13.666666666666666;0;0;6;7;5;13.2;0;12.4;0.5;1.79;Graduate;679;B;data latih;Tidak dipanggil
MHS0882;1;1;1;171;1;1;149.0;1;3;2;2;5;151.1;1;0;0;1;1;0;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;9.4;-0.8;-3.12;Graduate;560;D;data latih;Menghilang dari kelas
MHS0883;1;39;1;9003;1;1;110.0;1;19;37;9;6;120.0;0;0;1;0;1;0;31;0;0;6;15;1;11.0;0;0;6;10;0;0.0;0;16.2;0.3;-0.92;Dropout;435;E;data latih;Terhalang biaya
MHS0884;1;39;1;9003;1;1;133.1;1;37;37;4;7;130.0;0;0;1;0;1;0;32;0;0;6;8;3;13.0;0;4;10;14;6;11.428571428571429;0;16.2;0.3;-0.92;Dropout;500;E;data latih;Terhalang biaya
MHS0885;1;16;2;9500;1;1;127.0;1;2;38;4;9;119.0;1;0;0;1;0;1;19;0;0;8;12;7;12.599999999999998;0;0;8;12;7;12.599999999999998;0;10.8;1.4;1.74;Graduate;709;A;data latih;Tidak dipanggil
MHS0886;1;42;1;9773;1;6;120.0;1;34;34;0;0;122.0;1;0;0;1;0;0;34;0;8;10;11;10;12.2;0;5;10;12;9;12.333333333333334;0;7.6;2.6;0.32;Graduate;660;B;data uji;Tidak dipanggil
MHS0887;1;16;6;9773;1;1;136.0;1;38;14;0;0;129.7;1;0;0;1;0;0;21;0;0;6;6;6;13.166666666666666;0;0;6;6;6;13.0;0;7.6;2.6;0.32;Graduate;681;B;data latih;Tidak dipanggil
MHS0888;1;43;2;9238;1;1;110.0;1;37;37;9;7;112.5;1;0;0;1;0;1;53;0;4;7;16;6;11.0;0;2;7;9;7;11.0;0;9.4;-0.8;-3.12;Graduate;657;B;data latih;Tidak dipanggil
MHS0889;1;1;1;9500;1;1;136.0;1;19;19;4;7;136.0;0;0;0;1;0;1;19;0;0;7;7;7;14.014285714285714;0;0;8;8;8;15.35;0;13.9;-0.3;0.79;Graduate;733;A;data latih;Tidak dipanggil
MHS0890;1;1;3;9773;1;1;145.0;1;38;38;9;5;133.1;0;0;0;1;0;1;20;0;0;6;9;4;13.0;0;0;6;13;4;11.25;0;10.8;1.4;1.74;Graduate;634;C;data latih;Tidak dipanggil
MHS0891;1;1;2;9773;1;1;159.0;1;1;19;9;9;151.3;1;0;0;1;0;0;18;0;0;6;6;6;14.0;0;0;6;6;6;14.666666666666666;0;10.8;1.4;1.74;Graduate;701;A;data latih;Tidak dipanggil
MHS0892;1;39;1;171;1;1;147.0;1;37;38;175;193;133.3;0;0;0;0;0;0;32;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;16.2;0.3;-0.92;Dropout;448;E;data latih;Menghilang dari kelas
MHS0893;1;43;1;9500;1;1;150.0;1;37;37;9;9;130.8;1;0;0;1;0;1;21;0;0;8;8;7;14.428571428571429;0;0;8;8;7;14.428571428571429;0;12.7;3.7;-1.7;Graduate;718;A;data uji;Tidak dipanggil
MHS0894;1;7;1;8014;0;3;140.0;1;37;12;9;4;140.0;0;0;0;0;0;0;26;0;0;5;9;0;0.0;0;0;5;10;0;0.0;0;9.4;-0.8;-3.12;Dropout;453;E;data latih;Terhalang biaya
MHS0895;1;42;1;9085;1;39;150.0;1;1;1;4;7;150.0;1;0;0;1;0;0;26;0;11;18;45;18;11.833333333333334;10;9;13;27;13;12.461538461538462;5;15.5;2.8;-4.06;Graduate;655;C;data latih;Tidak dipanggil
MHS0896;2;44;1;9991;0;39;130.0;1;1;37;4;9;130.0;0;0;0;0;0;0;21;0;0;5;12;3;11.333333333333334;0;0;5;10;1;13.0;0;15.5;2.8;-4.06;Dropout;533;E;data uji;Terhalang biaya
MHS0897;1;17;1;9773;1;1;120.0;1;37;37;5;5;125.3;0;0;0;1;0;0;18;0;0;6;9;6;12.5;0;0;6;9;6;13.0;0;7.6;2.6;0.32;Graduate;684;B;data latih;Tidak dipanggil
MHS0898;1;43;1;9070;1;39;130.0;1;19;37;5;9;124.0;1;0;0;1;0;1;21;0;4;12;12;12;13.333333333333334;0;5;12;12;11;12.545454545454543;0;15.5;2.8;-4.06;Graduate;701;A;data latih;Tidak dipanggil
MHS0899;1;1;1;9254;1;1;112.0;1;38;19;9;5;113.8;1;0;0;1;0;0;21;0;0;6;10;6;10.833333333333334;0;0;6;10;4;11.0;0;7.6;2.6;0.32;Enrolled;608;C;mahasiswa aktif;Tidak dipanggil
MHS0900;1;17;1;9670;1;1;128.0;1;19;19;7;7;124.4;0;0;0;1;0;1;19;0;0;6;6;6;13.0;0;0;6;6;6;14.0;0;13.9;-0.3;0.79;Graduate;716;A;data latih;Tidak dipanggil
MHS0901;1;17;1;9147;1;1;114.0;1;19;19;9;7;107.7;0;0;0;1;0;0;19;0;0;5;7;2;10.0;0;0;5;11;2;14.0;0;10.8;1.4;1.74;Dropout;607;C;data latih;Tidak dipanggil
MHS0902;1;43;2;9238;1;1;118.0;1;38;38;5;5;110.0;0;0;0;1;0;1;19;0;0;6;8;6;11.428571428571429;0;0;6;11;5;11.2;0;10.8;1.4;1.74;Graduate;635;C;data uji;Tidak dipanggil
MHS0903;1;7;1;9500;1;3;130.0;1;37;38;7;7;130.0;1;0;0;1;0;0;27;0;0;8;8;8;12.8875;0;0;8;8;8;12.8875;0;9.4;-0.8;-3.12;Graduate;663;B;data latih;Tidak dipanggil
MHS0904;1;1;2;9500;1;1;145.0;1;37;1;9;4;138.8;1;0;0;1;0;1;18;0;0;7;7;6;12.95;0;0;7;7;6;12.95;0;7.6;2.6;0.32;Graduate;730;A;data latih;Tidak dipanggil
MHS0905;1;1;2;9147;1;1;121.0;1;19;19;9;9;126.3;1;0;0;1;0;0;20;0;0;5;12;1;10.0;2;0;5;5;0;0.0;0;12.7;3.7;-1.7;Dropout;557;D;data latih;Berjuang secara akademik
MHS0906;1;1;3;9500;1;1;114.0;1;1;1;5;5;114.5;1;0;0;1;0;1;19;0;0;7;7;7;13.094285714285714;0;0;8;8;8;12.55;0;12.4;0.5;1.79;Graduate;721;A;data latih;Tidak dipanggil
MHS0907;1;1;4;9670;1;1;127.0;1;1;1;7;7;116.5;1;0;0;1;0;0;20;0;0;6;7;0;0.0;0;0;6;6;0;0.0;0;16.2;0.3;-0.92;Dropout;559;D;data latih;Menghilang dari kelas
MHS0908;1;17;2;9238;1;1;145.0;1;19;38;7;6;128.6;1;0;0;1;0;1;19;0;0;6;12;5;11.714285714285714;0;0;6;11;6;11.0;0;12.7;3.7;-1.7;Graduate;662;B;data uji;Tidak dipanggil
MHS0909;1;17;5;9238;1;1;130.0;1;19;1;5;5;130.0;1;0;0;1;0;0;20;0;0;6;8;4;11.25;0;0;6;15;3;10.0;0;9.4;-0.8;-3.12;Enrolled;594;D;mahasiswa aktif;Berjuang secara akademik
MHS0910;1;1;1;171;1;1;150.0;1;38;19;7;10;134.6;0;0;0;1;0;0;20;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;15.5;2.8;-4.06;Dropout;558;D;data latih;Menghilang dari kelas
MHS0911;1;1;1;9853;1;1;145.0;1;37;37;9;5;146.8;0;0;0;1;0;0;18;0;0;6;6;6;13.166666666666666;0;0;6;6;6;13.333333333333334;0;7.6;2.6;0.32;Graduate;685;B;data latih;Tidak dipanggil
MHS0912;1;1;1;9085;1;1;128.0;1;19;1;5;4;135.7;1;0;0;1;0;0;20;0;0;5;7;4;12.75;0;0;5;5;5;13.4;0;10.8;1.4;1.74;Graduate;634;C;data latih;Tidak dipanggil
MHS0913;2;39;1;9991;0;1;140.0;1;37;37;9;9;120.0;0;0;0;0;0;0;38;0;0;5;6;5;10.6;0;0;5;9;2;11.0;0;12.7;3.7;-1.7;Dropout;476;E;data latih;Terhalang biaya
MHS0914;4;39;1;8014;0;1;130.0;1;37;37;9;7;138.0;0;0;0;1;0;0;42;0;0;6;8;5;11.2;0;0;6;6;6;12.0;0;8.9;1.4;3.51;Graduate;626;C;data latih;Tidak dipanggil
MHS0915;1;39;1;9500;1;1;140.0;1;37;37;9;6;135.5;0;0;0;1;0;0;32;0;0;7;0;0;0.0;0;0;8;0;0;0.0;0;13.9;-0.3;0.79;Dropout;536;E;data latih;Menghilang dari kelas
MHS0916;1;15;1;9773;1;1;120.0;26;19;19;4;5;120.0;1;0;0;1;0;0;22;1;0;6;6;6;13.0;0;0;6;6;6;13.666666666666666;0;12.4;0.5;1.79;Graduate;672;B;data uji;Tidak dipanggil
MHS0917;2;39;1;9991;0;1;147.0;1;34;34;90;90;111.7;1;0;0;1;0;0;28;0;0;5;10;0;0.0;0;0;5;5;0;0.0;0;7.6;2.6;0.32;Dropout;522;E;data uji;Berjuang secara akademik
MHS0918;2;39;1;8014;0;9;133.1;1;37;37;8;10;100.0;1;0;0;1;0;0;37;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;9.4;-0.8;-3.12;Dropout;529;E;data latih;Menghilang dari kelas
MHS0919;2;44;1;9003;1;39;160.0;1;37;38;9;4;160.0;0;0;0;1;0;0;43;0;0;6;8;6;14.166666666666666;0;0;6;9;6;15.0;0;15.5;2.8;-4.06;Graduate;672;B;data uji;Tidak dipanggil
MHS0920;6;39;1;8014;0;1;133.1;1;37;1;9;7;114.8;0;0;0;1;0;1;41;0;0;6;10;5;12.833333333333334;0;0;6;6;6;12.333333333333334;0;13.9;-0.3;0.79;Graduate;665;B;data uji;Tidak dipanggil
MHS0921;4;39;1;8014;0;19;140.0;1;37;37;9;3;131.0;0;0;0;1;0;1;29;0;0;6;11;4;11.75;0;0;6;9;5;10.4;0;10.8;1.4;1.74;Graduate;591;D;data latih;Berjuang secara akademik
MHS0922;1;39;1;8014;0;1;133.1;1;37;37;9;9;97.0;0;0;0;1;0;1;35;0;0;6;8;6;10.833333333333334;0;0;6;7;6;11.5;0;10.8;1.4;1.74;Graduate;644;C;data latih;Tidak dipanggil
MHS0923;1;17;6;9238;1;1;131.0;1;1;3;4;2;131.7;1;0;0;1;0;0;18;0;0;6;8;4;11.75;0;0;6;8;4;12.25;0;9.4;-0.8;-3.12;Dropout;625;C;data latih;Tidak dipanggil
MHS0924;1;39;1;9500;1;19;133.1;1;37;37;9;6;120.0;0;0;0;0;0;1;39;0;0;7;14;3;11.5;0;0;7;9;2;10.5;0;16.2;0.3;-0.92;Dropout;521;E;data latih;Berjuang secara akademik
MHS0925;4;39;1;9991;0;1;120.0;1;37;37;9;9;110.0;0;0;0;1;0;0;37;0;0;5;14;2;10.0;0;0;5;7;3;11.333333333333334;0;12.7;3.7;-1.7;Enrolled;538;E;mahasiswa aktif;Berjuang secara akademik
MHS0926;1;39;1;9500;1;1;130.0;1;37;37;9;7;133.0;1;0;0;1;0;1;26;0;0;7;7;6;13.7;0;0;7;7;6;13.7;0;7.6;2.6;0.32;Graduate;695;A;data latih;Tidak dipanggil
MHS0927;1;7;1;9085;1;3;140.0;1;19;20;4;90;140.0;1;0;0;1;0;0;32;0;0;5;8;1;14.0;2;0;5;12;0;0.0;4;10.8;1.4;1.74;Dropout;555;D;data latih;Berjuang secara akademik
MHS0928;2;39;1;8014;0;1;133.1;1;37;37;6;8;100.0;0;0;1;1;0;0;37;0;3;8;12;7;11.375;0;2;7;10;6;12.166666666666666;0;13.9;-0.3;0.79;Enrolled;616;C;mahasiswa aktif;Tidak dipanggil
MHS0929;1;39;1;9085;1;1;140.0;1;37;19;191;163;129.3;1;0;1;1;0;0;28;0;0;6;17;0;0.0;0;0;6;6;0;0.0;0;8.9;1.4;3.51;Enrolled;505;E;mahasiswa aktif;Berjuang secara akademik
MHS0930;1;1;1;9238;1;1;133.1;1;19;37;0;0;137.0;1;0;0;1;0;0;19;0;0;6;10;0;0.0;4;0;6;0;0;0.0;0;7.6;2.6;0.32;Dropout;570;D;data uji;Menghilang dari kelas
MHS0931;1;1;5;9147;1;1;125.0;1;37;38;7;7;122.2;1;0;0;1;0;0;18;0;0;5;9;1;11.0;0;0;5;9;2;12.5;0;7.6;2.6;0.32;Enrolled;603;C;mahasiswa aktif;Tidak dipanggil
MHS0932;1;1;1;9853;1;1;115.0;1;19;38;9;9;108.0;0;0;0;1;0;1;19;0;0;7;10;6;13.0;0;0;7;7;7;13.285714285714286;0;12.4;0.5;1.79;Graduate;710;A;data latih;Tidak dipanggil
MHS0933;2;7;1;9670;1;3;110.0;1;37;37;7;7;110.0;0;0;0;1;0;0;32;0;4;11;15;8;13.6;0;2;8;10;8;15.11111111111111;0;13.9;-0.3;0.79;Graduate;656;C;data latih;Tidak dipanggil
MHS0934;2;39;1;9147;1;1;140.0;1;37;37;9;9;127.7;1;0;0;1;0;0;31;0;0;5;8;3;11.0;0;0;5;9;2;11.5;0;7.6;2.6;0.32;Dropout;557;D;data latih;Berjuang secara akademik
MHS0935;1;39;1;9500;1;1;100.0;1;3;1;2;5;121.3;1;0;0;1;0;0;34;0;0;8;11;7;11.705714285714285;0;0;8;11;7;11.705714285714285;0;10.8;1.4;1.74;Enrolled;620;C;mahasiswa aktif;Tidak dipanggil
MHS0936;1;1;3;171;1;1;145.0;1;1;1;3;3;140.1;1;0;0;1;0;0;20;0;6;12;12;12;13.25;0;4;11;14;11;14.333333333333334;0;8.9;1.4;3.51;Graduate;689;B;data latih;Tidak dipanggil
MHS0937;1;39;1;9500;1;19;133.1;1;38;38;9;9;114.8;0;0;0;1;0;0;28;0;0;7;15;1;10.75;0;0;7;10;1;10.0;0;13.9;-0.3;0.79;Dropout;553;D;data latih;Berjuang secara akademik
MHS0938;1;44;1;9991;0;39;150.0;1;37;37;6;6;150.0;0;0;0;1;0;0;31;0;2;6;8;6;12.0;0;2;7;8;7;13.428571428571429;0;9.4;-0.8;-3.12;Enrolled;650;C;mahasiswa aktif;Tidak dipanggil
MHS0939;1;1;1;9773;1;1;145.0;1;19;38;4;10;131.7;1;0;0;1;0;0;18;0;0;6;7;6;12.666666666666666;0;0;6;8;4;12.25;0;7.6;2.6;0.32;Enrolled;649;C;mahasiswa aktif;Tidak dipanggil
MHS0940;4;39;1;8014;0;19;133.1;1;37;37;90;7;110.0;0;0;0;0;0;0;31;0;0;6;8;5;11.4;0;0;6;9;3;11.0;0;9.4;-0.8;-3.12;Dropout;485;E;data latih;Terhalang biaya
MHS0941;1;1;3;9773;1;1;110.0;1;19;19;5;5;105.5;1;0;0;1;0;0;19;0;0;6;6;6;13.0;0;0;6;8;5;12.4;0;12.4;0.5;1.79;Graduate;650;C;data latih;Tidak dipanggil
MHS0942;1;1;1;9238;1;1;128.0;1;37;19;9;4;127.3;1;0;0;1;0;1;19;0;0;6;8;6;14.0;0;0;6;8;6;12.285714285714286;0;16.2;0.3;-0.92;Graduate;724;A;data latih;Tidak dipanggil
MHS0943;2;39;1;9238;1;19;133.1;1;37;37;9;9;130.0;1;0;0;1;0;0;31;0;0;6;11;0;0.0;0;0;5;10;0;0.0;0;9.4;-0.8;-3.12;Enrolled;535;E;mahasiswa aktif;Berjuang secara akademik
MHS0944;1;7;1;9085;1;3;130.0;1;1;19;9;10;130.0;0;0;0;1;0;0;34;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;15.5;2.8;-4.06;Dropout;528;E;data latih;Menghilang dari kelas
MHS0945;1;16;1;9556;1;1;137.0;1;37;37;9;7;122.7;1;0;0;1;0;1;18;0;0;7;7;7;15.285714285714286;0;0;8;8;8;16.075;0;12.4;0.5;1.79;Graduate;713;A;data latih;Tidak dipanggil
MHS0946;1;17;2;9254;1;1;123.0;1;37;37;7;7;113.9;1;0;0;1;0;0;18;0;0;6;6;6;13.166666666666666;0;0;6;6;6;12.666666666666666;0;11.1;0.6;2.02;Graduate;679;B;data latih;Tidak dipanggil
MHS0947;1;1;1;9147;1;1;156.0;1;3;19;3;3;151.1;0;0;1;1;1;0;19;0;0;5;7;5;13.6;0;0;5;11;5;12.833333333333334;5;16.2;0.3;-0.92;Graduate;608;C;data latih;Tidak dipanggil
MHS0948;1;17;2;9773;1;1;133.1;1;3;5;0;2;125.8;1;0;0;0;1;1;22;0;0;4;8;0;0.0;0;0;4;8;0;0.0;0;7.6;2.6;0.32;Dropout;498;E;data latih;Berjuang secara akademik
MHS0949;2;43;1;9670;1;1;100.0;1;34;34;0;0;128.2;0;0;0;1;1;0;32;0;6;10;12;10;11.4;0;4;9;9;4;11.5;0;7.6;2.6;0.32;Graduate;584;D;data latih;Berjuang secara akademik
MHS0950;1;39;1;9147;1;1;140.0;1;37;3;9;2;135.1;0;0;0;1;1;0;61;0;0;5;0;0;0.0;0;0;5;0;0;0.0;0;15.5;2.8;-4.06;Dropout;524;E;data uji;Menghilang dari kelas
MHS0951;1;39;1;9991;0;1;130.0;1;37;37;9;9;120.2;1;0;0;1;1;0;30;0;0;5;7;5;11.0;0;0;5;5;5;11.6;0;7.6;2.6;0.32;Graduate;553;D;data latih;Berjuang secara akademik
MHS0952;2;39;1;9991;0;1;133.1;1;37;37;9;9;132.8;0;0;1;0;1;0;45;0;0;5;9;0;0.0;0;0;5;11;0;0.0;0;12.4;0.5;1.79;Dropout;417;E;data latih;Terhalang biaya
